핸들,댓글 내용
@user-im1pk7ft8g,언니 이렇게 진지하시면 저 마음아파요ㅠㅠㅠ 언니 조금 일하고 많이 벌어야 하니까 제가 8개 바로 구매진행 시켰어요 영상 보다가 불안해서 바로 냅다 구매진행해버리기 심톨픽도 실패가 없었는데 만든거라면 뭐 이건 영상 안봐도 아묻따니께
@user-ly1ml3dg5p,기초 세럼 크림 바르고 선크림을 마지막으로 바르잔아요   이것도  똑같이  이 순서데로 마지막으로 바르면되나요
@user-ih8qc1pm9l,"선크림 너무 중요하지만 애증의 존재였달까요,,, 얼굴에 500원짜리 크기만큼 바르는 거? 백번 양보해서 바를 수 있음ㅇㅇ 근데 몸뚱아리에 덕지덕지 바르는 거? 진짜 생각만 해도 쏘 찝찝 당장 샤워 조지러 가고 싶음; 이 상태였어서 고민이 많았거든요ㅠ 그러다 보니 여름엔 항상 얼굴만 하얗고 바디만 지글지글 타는 2단 분리형 달걀귀신 됐었는데 선세럼은 그런 거부감 없이 막 발라도 안 끈적이고 촉촉할 것 같아서 오히려 좋아(?) 어떻게 투명한 선크림을 만들 생각을 하셨는지 언니 아이디어에 전두엽을 탁 치고 구매하러 갑니다! 너무 기대돼요"
@user-gt4zc3mh8c,"말도 안됩니다. 썬크림이 세럼제형이 된다뇨. 어디사 주워들어서 유기자차 썬크림 중에서 눈시림 없어야 하고 얼굴이 하얘지지 말아야 하고 그리고 기름지지 않고 느끼하게 미끌거리지 않아야 하는데 결국 그걸 정착 못해서 썬스틱 대충 바르고 기름종이 덕지덕지 사용해서 솔직히 썬크림 기능 없이 썬크림을 바르고 있었어요ㅠ 수부지 지성이라서 건조한데 기름져서 너무 고통스러웠는데 수분감은 채워주고 세럼의 가벼운 제형이라니ㅠㅠㅠㅠㅠㅠㅠㅠ
 너무 기대돼요ㅠㅠ"
@dpwls4470,"안녕하세요 심톨님!
혹시 사용순서 토너 > 에센스 > 선세럼 > 로션 순으로 발라도 괜찮은걸가요? 괜히 위에 또 선세럼 바르면 밀릴까봐 걱정됩니당 ㅜ"
@lovely_y3612,"엄마가 썬크림바르면 눈시리다 
스틱형 바르면 끈적인다 ...
어떤 썬크림을 사드려야하지 고민하다가 투명썬크림 홀려서 영상보고 홀린듯 결제했어요 ㅎㅎ
부디 우리엄마를 만족시켜주길
벌써 배송오고 있데요!! 완전 퀵!!
30명 안에도 들어보자!! 기대합니다"
@user-ho4ky2ft5p,"30대가 되면서 제 피부는 정말 금쪽이라 선크림을 안바르면 기미와 잔주름이 심해지는 걸 느끼고 있어요. 여배우 분들이 3시간에 한번씩 선크림을 발라줘야한다고 하는데 예민피부라 선크림을 잘못바르면 늘 트러블이나고 피부가 지치는게 보이더라구요. 드럭스토어에 있는 비건 선크림들도 모두 마찬가지였습니다 ㅠㅠ 시카성분 들어있는 심톨언니의 선세럼이 제발 제 피부에 꼭 맞길바라며 ! 기대중입니다 :) 4개 구매완료했구요. 7월에 동남아에 가는데 용량도 기내제한없이 통으로 들고갈수있어서 좋은것같아요 
️ 반응이 좋으면 대용량도 기대해볼게요!! 런칭축하드려요!! 
️
️"
@trifolium_clovers,"선크림 혁명인데요?!
 다양한 선크림을 써봤지만 선크림이 세럼같은 제형이 나올 수 있다니.. 이건 쟁여야해요
피부가 얇고 민감해서 기존 썬크림들은 바를 때마다 밀리고, 백탁 현상, 트러블이 나더라구요ㅠㅠ 선크림을 안바르자니 흉터 진해지고.. 제 얼굴 보신 줄 알았어요ㅋㅋㅋ 피부과에서도 선크림을 바꿔보라는 이야기만 하셔서 이번엔 뭘 사야하나 고민했는데 언니 타이밍 미쳐따..
얼굴 핏줄도 다 보이는 얇은 피부라서 제형 정말 고민 많이 하는데 이런 제형을 만들어주셔서 넘 감사해요ㅠㅠ🥹 상세한 리뷰 덕분에 이번에 투명선크림 지르러 갑니다:) 언니 좋은 제품 만들어주셔서 감사해요ㅠㅠ"
@larvarabbit,"심톨님 안녕하세요
저 처음에 3개 구매했다가 4개짜리 또 구매한 구독자입니당 ㅋㅋㅋ
남편이 원래 끈적이는 선크림을 절대 안발라서 쌩얼굴(?)로만 다니는데 그랬더니 얼굴이 점점 까매지더라구요
그러다가 혹시 이런 제형의 선크림이면 바를까 싶어서 주문해봤는데... 대만족!!
오늘 골프 라운딩 갈 때에도 발랐습니당ㅎㅎ 저도 써봤는데 넘 좋네요
이벤트도 참여할게요!!"
@user-qc5nc6jl7g,"안녕하세요 심톨 언니... 저는 맞는 선크림이 없어서 선크림을 거의 바른적이 없는 26세 여성입니다..크흑.. 네 맞아요 거의 평생 저한테 맞는 선크림을 찾아본적이 없었어요ㅠㅠ... 좀 괜찮나? 싶으면 하루이틀뒤에 피부 다 뒤집어지고 트러블생기고^^.. 그래서 파데랑 쿠션에 있는 자외선 차단지수에 기대서 살아왔었습니다ㅠㅠ
무기자차, 유기자차, 혼합자차까지... 저는 다 끈적거리고 !간지럽고! 기름져서 못쓰겠더라구요.. 무기자차는 답답하고 유기자차는 눈시림이 덤... 그나마 있던 혼합자차도 저에게 실망만 안겨줬던...
 
그렇다고 몸은 문제없느냐.. 아니요 며칠전 몸에 선크림 잘못바르고 접촉성 피부염으로 피부과까지 다녀왔던 사람입니다...

선크림의 중요성에 절감하지만 진짜 저는 없어서 못썼었어요ㅠㅠ
그런데 언니가!!!!! 이렇게!!! 제품을!!! 내주시다니!!!! 솔직히 이번엔 제발제발 맞길바라며 기대하고 있어요... 영상 보자마자 느낌 오드라구요...
아 이거다... 나도 드디어 선크림이란걸 발라볼 수 있겠구나...
언니꺼도 안맞으면 저는 그냥 이제 선크림 안바르려구요... 하하^^...
학수고대하며 댓글 남겨요...
제가 학생이라 용돈이 한정되어 있어서 간절한 맘으로 댓글이벤트 참여해봐요...🥹🥹
️
당첨되길 바라며 고고><"
@gumbangeeeee,"저는 선크림을 바르면 얼굴이 서걱서걱한게 싫더라고요.. 그리고 왜인지 오후가 되면 얼굴이 간질간질해서 선크림 피하게 됐어요,,, 그리고 저만 느끼는지 모르겠는데 선크림이 한달만 지나도 꾸리꾸리한 냄새 나는게 싫었어요
기초 제품 다 안민감하게 사용하는데 선크림만은 신경 쓰이는게 많아서 걍 안발랐어요…이제 나이 먹으면서 선크림 쓰려고 맘 먹었는데 용량도 30미리가 한달 내에 사용할 수 있는 적절량이라고 생각하기도 하고 제형이 너무 신기해서 많이 기대돼요…..!!!!!! 얼굴에 열감 많은 사람으로써 쿨링돼고 오후에 안간지럽기만하면 정착할 거 같아요!!"
@user-rf4eb6rb6r,"원래 선크림 잘 안바르는 사람으로써 
요새 들어서 기미 주근깨가 더 생기더라구요.. 피부도 칙칙하니 관리해줘야지 싶었어요. 기존 선크림도 묽고 안묻어나는 제품으로 사용중이었는데 근데 이게 선크림이다 보니 확실히 답답한 느낌? 땀이 더 배출이 많이되서 찝찝한 느낌은 어쩔수가 없나봐요 그래서 잘 안사용하게되더라구요.. 선트림 유목민이었는데 영상보고 한번 도전해보려고 합니다 ! ㅎㅎ

세럼형식으로 나오니 기초제품바르듯이 바르면 수분보충도되고 선크림 역할도 해주고 일단 너무 기대되구요. 원래 광고보면 잘 안사려고 노력하는데 제품자체가 시선강탈이긴하네요.. 넘 예쁘게 생긴거아닙니까 ㅜㅜ 남자친구도 저처럼 선크림 잘 안바를려고 하는데 기초제품은 또 바르잖아요. 이거 선크림 아니고 세럼이라고 말하고 바르고 다니라하면 잘 바르고 다닐거같아서 남자친구껏도 선물해주려구요. 일단 너무너무 기대되용 !!!"
@abgabgabga,"저오늘 받았는데 완전 세럼바르는 느낌이던데요?? 선크림이 아님ㅋㅋㅋ 할인팍팍받아서 샀고 제품력도 좋아서 너무 좋은데
생각보다 너무 쪼깨낳구 사은품이 하나도 없다는 점이 초큼 아쉽 ㅜㅜ 그래도 이거 계속 살거같아요 짱좋아유~~~"
@user-wh3lr6tt9h,"투명썬크림이요?? 보자마자 와 이건 진짜신박하다생각함
썬크림은 매일 발라줘야한다는건 알고는있지만
왜케 밀리고 뭉치는지ㅜㅜ 1분1초가 아까운출근시간에 제대로 흡수시킬시간도없어서
쿠션에 있는 자외선차단기능으로 합리화시키며
생략해왔던 나에여..
그냥 에센스바르듯이 자외선차단되면 좋겠다
누가이런거 안만들어주나?생각했었는데
그게바로 심톨님이었네여
나도 착붙화장할수있겠단 기대감자신감 상승!!"
@user-by8rl8un8u,"어떤 선세럼은 피부에서 순한 느낌이 안 들고 특히 눈시림이 엄청 나더라구요. 제형은 좋은거 많은데 성분이랑 오래 썼을 때의 사용감까지 온전히 완벽한 선세럼은 아직도 못만났어요
 부디 델피어 선세럼이 제 인생선세럼이 되길 바라봅니다"
@praha955,"헐 촉촉해보여서 넘 좋을거 같아요 ,,! 선세럼 최고,, 너무 기대되요 
 
목이나 팔 등 요런데도 편하게 바를 수 있을거 같아요 최고 ,,! 
선세럼 같은 제품 한번 사용해봤는데 좋더라구요 ! 
거기다 요건 수분이 가득이라니,,, 더운 여름에 바르기 너무 좋을 거 같아요 !! 
+ 구글폼 유튜브 핸들 잘못 입력해서 한번 더 제출했습니다,, "
@leiraceo,"원래 선크림의 중요성을 잘 알아서 두둑하게 잘 바르는 편입니다. 그런데 갈수록 선크림 제품들이 강해져서(?) 클렌징이 너무 힘들어요. 특히 몸에는 워터프루프를 바르면 이게 바디워시로 제대로 지워진게 맞는지 의심도 들고, 건조해지는 것 같고, 간지러운 느낌이 들고 그런답니다. 이 선크림은 세안 후 어떨지도 궁금해요. 그리고 솔직히 용량이 너무 작네요. 조금 성능을 낮추더라도 대용량 바디용도 있으면 좋을 것 같아요."
@binwal_,"선크림 같은 경우에 진짜 매일매일 발라야 하고 하지만 일 하다보면 얼굴 전체에 기름이 돌고 그래서 이제는 쿠션만 바르게 되거나 선크림만 바르고 파우더를 두껍게 올리게 되더라고요 ꒦ິ^꒦ິ 그게 참 아쉽고, 힘들었는데 제 남자친구도 선크림 바르고 싶은데 바르면 기름 돌고 여드름이 나서 무서워서 못 바르는데 이 선크림 같은 경우에는 세럼 제형에 제품 자체도 탄탄해 보여서 선물해서 주려고 합니다 :> 

세럼 같은 선크림은 진짜 처음이라 4개 구매했어요 :) 이제 여름이고 하니 덕지덕지 얼굴 팔 다리 목 다 발라야겠어요 !
만들어주셔서 감사합니다 (ˊσ̴̶̷̤⌄σ̴̶̷̤ˋ)♡"
@oreoisueong,Uv차단기기로만 보여주시는데 자외선 차단 어디서 인증을 받으신 게 있을까요? 상세페이지에도 안 나와있어서요
@haeun103030,"스무살에 메이크업 시작하고부터는 한번도 선크림에 정착을 못한 1인입니다ㅠㅠㅠ 눈시림, 뻑뻑한 백탁, 트러블, 유분기, 화장 밀림이라는 무시무시한 단점을 한번에 다 잡은 제품이 개발됐다니
 이건 진짜 혁명이네요!!! 역시 심톨님이시구나, 했어요 ^.^ 믿고 4개 구매했습니다ㅎㅎ 
남편이 원래도 지성 피부인데 선크림 바르면 끈적거리고, 하얀 피부는 더 허얘지고, 땀 많아서 땀나면 하얀 국물 흘러내린다고 선크림을 죽어도 안발랐던 사람이었거든요ㅜㅜㅜ 요새 잔주름 생기는 것 같다고 선크림 발라야될 것 같은데 좋은 거 없냐구 저한테 물어봐서 찾고 있었는데.. 이번 제품 너무너무 기대돼요
개발하시느라구 밤낮으로 너무 고생많으셨어요 심톨님! 기대하는 마음으로 제품 기다릴게요! 계속 응원해요~~*"
@jeongheeshin3403,"사용해본 선 세럼은 성분이 좋다 피부에 좋다해서 기대하고 구매했던 A사 선세럼 이였는데 피부에 닿자마자 따갑더라구요 그리고 진짜 차단이 되는게 맞나 싶을정도의 의구심이 들구요 제가 진짜 잘타는 웜톤 23호거든요 집에만 있어도 여름에 동남아로 휴가 다녀 왔냐고 물어볼정도…
그리고 나이가 드니까 없던 눈시림까지…
눈시림 없다는 선크림 골라서 비싼돈 주고 사도 눈시림이 너무심하더라구요
닥터지 무기자차 빼고는 다 눈시림이 있더라구요
그런데 한여름 빼고는 너무건조하고..
그리고 화장 안밀리게하려고 선크림 바르고 겉에 유분기 제거하는게 너무 귀찮구요..
이번 영상을 보고 저건 꼭 사야겠다 싶어서 바로 구매 했네요
진짜 피부에 세럼 바른 것처럼 순하고 차단 잘되고 진정효과 있는 선세럼이길 기대해 봅니다..
40대 입문후 목주름 쥐젓 같은것도 신경쓰여 선크림 꼭 발라지 맘 먹고 있었는데 텁텁하고 끈적함 때문에 잘 발라지더라구요..그런데 앞으로 잘 바를것 같구요
아주 기대 되네요 ^^"
@kh0804,"수많은 선크림을 써봤지만 이렇게 가벼운발림성과 백탁이없는 선크림 처음봤어요
바른듯 안바른듯 굉장히 가벼운제형이라서 선크림의 중요성은 알고있지만 답답함때문에 여름에 선크림 못바르고있었던 사람들을위한 찐추천템!!다른 일반선크림들은 바르고난뒤에 흡수까지걸리는시간 때문에 백탁이엄청생기거나 피부가답답해서 숨을못쉬는느낌이 들거나 그래서 선크림바르고 그위에 메이크업을하면 화장들뜸이 생기는경우가 많은데 델피어 아쿠아 테카 카밍 선세럼은 그냥세럼에 선크림을더한느낌처럼 촉촉하게발림성이좋아서 기초만한느낌이 들어서 너무좋을것같아요!!심톨님이 직접개발한 역대급선세럼 불편한사람이 만든건 확실히 불편함을개선해서나와서 너무좋아요
더이상 갑갑한선크림은 못사용할듯!!"
@peachandstrawberry,"남자 구독자입니다 ! ㅎㅎ 그동안 봐왔던 영상들에서 꿀템들 진짜 많았는데,,, 어떤거는 나한테는 굳이...? 필요 없을 것 같으면서도 좋아보였던 제품 진짜 많았어요. 에스테틱에서 관리하는 그 제품은 사고싶었는데 Budget이 충분하지 않을 것 같아서 구매안했었는데 선케어는 특히 필수로 생각하고 있어서 이제품 저제품 써봤었거든요. 유기자차 위주로 사용했었는데 확실히 지금 계절되니까 무거운 유기자차가 너무많아서 건성인데 불구하고 더운 곳에서는 기름 확돌더라구요. 델피어 아쿠아 테카 카밍 선세럼 일단 지르고 마음에 들면 이건 쭈욱 사용해봐야할 것 같아요. 특히 제가 건성이라서 스킨케어 레이어를 많이하는 편인데 선케어 까지 기름돌게하니까 많이 무거운 편이였는데 이건 너무 가벼워보여서 기대하고있습니다 ~."
@user-tn9ee2md5z,선스틱에 비해 장점은 어떤게 있을까요?
@user-bb6rl5dm4b,"T존은 유분 폭발하고 U존은 건조한 수부지입니다! 
그동안 선크림 수십개씩 쓰면서 유기자차는 기름이 폭발하고 무기자차나 혼합자차는 턱이나 건조한 부분 갈라지는 현상 때문에 만족하고 제품 끝까지 쓴 적이 한번도 없는데
심톨님 말씀 들어보니 드디어 나에게도 맞는 선크림을 찾을 수 있을까하는 기대감에 너무 기대돼요!(두근두근)"
@jd9up,"저는 고3 학생입니다! 저는 얇고 홍조가 있는 피부를 가지고있어서 특히 자외선 차단이 중요한데 기존 선크림을 바르면 오히려 자극되어 얼굴이 더 붉어지고 심지어 제가 악건성이라 무기자차 바르면 얼굴에 가뭄이 오더라구요ㅠㅠ 그래서 항상 500원은 무슨, 최대한 자극안가게 발라주고있었는데ㅠㅠ 저 진짜 원래 피부색을 되찾고 싶어요 난 미쓰 홍당무가 아니란 말이야ㅠㅠ 심톨님 덕분에 괄사도 하고 안색도 맑아지고 있는데 선크림 제대로 사용해서 더 좋은 피부 되고싶어요🥹"
@user-k9sdfw47efj,엄마가 미화원일 하시면서 이년새로 갑자기 확 늙으신게 보여서 선크림 좀 바르시라고 했더니 찐득거리는게 싫어서 안바르시더라구요. 그래서 맘아파서 올리브영에서 안끈적거리는 세럼타입 찾다가 결국은 그나마 나은 선크림 사드렸는데ㅠㅠㅠ  세럼 타임으로 내주신거 진짜 감사합니다..
@user-yg4zi9vk1o,"선크림 가벼운거라고 그렇게 광고를 해대는거 거의 다 써봤지만 꼭 메이크업만하면 베이스가    두꺼워지는?뜨는?그렇게되서 속상해요ㅜ
오늘아침에도 그랬으니깐요..
선크림을 안바르고 메이크업을하면 깔끔한데 
참 희한해요ㅜㅜ근데 안바르면 마음이 불안해서 덜깨끗한 베이스를선택하고 늘바르거든요ㅜ
근데 역시 심톨님 대박!!
세상에  선크림제형이 저럴수있냐고요...
이건 혁명아닌가요? 오마이갓!!!
제발 메이크업에 방해안되는 선크림나와라나와라 하고있었는데 
제 바램 이뤄진것같아서 너무좋네요ㅜㅜ
베리쉬에서 만든 브랜드라면 일단 믿음도가구요 
심톨님덕에 베리쉬입고 광명찾았잖아요
몇개더사고싶은서 베리쉬 이벤트 기다리는중이었는데ㅎㅎ
쨌든!!! 말도안되는 선세럼 만들어주셔서 감사해용"
@user-dh2kz9ve5w,올영선크림 4개 실패.이젠 선크림 포기해야되나 싶은데.. 또 영업당해서 구매하고 싶네요
@user-gx3jw5kh6s,저는 여드름 피부인데다 여름만 되면 피부가 지성에 가깝게 변하는 사람이라 선크림을 바른다고 해도 무조건 수분크림 같다고 광고하는 것만 사서 썼어요ㅠㅠ 바르는 것도 귀찮고 더워 죽겟는데 끈덕하고 답답하고 불편햇는데… 수분크림 제형도 아니고 세럼제형이라니………도대체 어디까지 발전하는거죠ㅠㅠ 이게 될 줄이야ㅠㅠㅠㅠ
@ijsaternam8129,클랍제품을 심톨님 통해 알게 되었는데요. 그래서 신뢰 하나로 선세럼 쟁입니다^^ 저 또한 선크림은 그 어떠한 화장품 보다 중요하고 효과를 볼 수 있다고 생각해서 많이 자주 바르는 편입니다. 그런데 건성피부라 뻑뻑한 선크림은 정말 피부가 너무 땡겨서 못바르고 그나마 수분크림 같은 제형의 선크림들을 바르는데 그것들도 덧바르거나 너무 많이 바르면 흡수가 잘 안되어 때처럼 밀리더라구요ㅠㅠ 평소 세럼을 좋아하기도 해서 이번에 심톨님 믿고 주문합니다. 원재료가 수입이 안될수도 있다고 하니 우선 쟁여놓으려구요 ㅎㅎ 좋은 성분과 좋은 발림성으로 만들어주셔서 감사드리고 꼭 꼭 단종되지 않았으면 좋겠습니다^^
@hanaaaaaaj,"안녕하세요, 심톨님 구매하려고 하는데 혹시 세안은 어떻게 해야할까요? 세럼이라 이름이 붙어서 1차세안으로 될것 같은데 궁금합니다"
@SUGASUGArun1,"썬크림 두번씩 발라요! 썬크림 기름지지만 않았으면 좋겠어요, 보통 기초 바르고 올리면 반들반들ㅜ"
@user-bj8qc9te1v,심톨님 영상을 잘 볼게요
@user-xp6fn7ef1r,선블록이 좋다 안좋다 의견이 나뉘어서 어떻게 해야할지 모르겠어요ㅠㅠㅠ  선블록에 돌가루도 첨부가 됐다는데  이건 괜찮은거죠?
@naky0802,델피어 아쿠아 테카 카밍 선 세럼 기대 됩니다 투명 선크림 사용 해보고 싶습 니다 백탁 현상이 없었 으면 좋겠 습니다 발림 성이 부드 러웠 으면 좋겠 습니다 햇빛 차단이 잘 되는것 같았 으면 좋겠 습니다 촉촉 하고 순하 다고 느꼈 으면 좋겠 습니다
@user-jl8rj7zd7g,"안녕하세요 심톨님! 유튜브 영상 보다가 광고로 떠서 우연히 보게 됐어요 여름이 오고 있어서 선크림을 3일째 찾던 중이었는데 선세럼이라길래 선세럼이라는게 있나? 싶고 궁금해서 구매 시이트 들어갔다가 이렇게 풀영상까지 찾아서 보게 됐어요 초등학생때부터 시작해서 8~9년간 트러블 피부로 살아온 올해 20살 여대생인데 아직까지도 트러블이 올라오더라구요 짜는 법도 모르고 관리법도 몰랐을 시절 때문에 제 얼굴은 여드름 색소침착으로 뒤덮였고 자외선 닿으면 더 오래간다길래 선크림을 발라봤는데 뭐 어성초 티트리 시카 무기자차 유기자차 혼합자차 유명한 브랜드 선크림같은거 다 써봤다고 자부할 수 있을 정도로 싹 다 써본 사람인데 진짜 모든 제품이 좁쌀이나 화농성 생겨서 오히려 피부가 더 더려워지니 선크림을 포기하고 살았거든요 이건 복합성인 제가 쓰기에 제형도 가벼운 거 같고 원료도 좋은 걸로만 썼다고 하시니 의심이 아예 없다곤 할 순 없지만 그래도 제발 이번엔 저에게 잘 맞길 바라며 믿고 구매를 했어요 아직 사용해보진 않았지만 이름을 거실 정도로 강력히 추천하시고 피부미용 자격증도 있으시고 한거 보니까 기대가 돼요 쟁이긴 했는데 써보고 좋으면 세일 지났더라도 계속 정착하고 싶어요 제발 원료도 다 떨어지질 않길 기도합니다
저 진짜 선크림 맞는 거 하나도 없었어요 제발류 이건 진짜 꼭 맞았으묜 좋겠어요"
@user-hk7sq3oh4x,메이크업 하고 나서 위에 덧발라도 되나요?
@hyein_mumu,"본품 4개 구매완료요
 다른 제품 알아보다 무엇에 씌인듯 델피어로 구매하게 됐어요
 기능은 물론 예민한 피부에 부담없이 자주 손이가는 제품이길 기대합니다!! 그리고 델피어 아쿠아 테카 카밍 선 세럼 런칭 응원합니다"
@user-vp5mq5fy2h,제품 구매했는데 너무 좋아서 지인들한테도 추천했어요!! >< 선크림은 개개인마다 맞는게 달라서 조금 조심스러웠지만 저는 개인적으로 너무 만족해서 추천했습니당~ 심톨님 최고오! 저처럼 조금 복합성? 피부이신 분들은 토너랑 선세럼 바르면 딱이에요!!
@KWON0214,"아 ㅋㅋ 심톨님 진심일때 나오는 말투랑 표정 너무 좋아요ㅋㅋㅋ
화장은 안해도 20년가까이 선크림을 매일 하루도 안빼고 꾸준히 발라온 사람으로 동안의 비결이 선크림이라는거 동의합니다!
백탁 싫고 끊적이는거 싫고 기름지면 안되고 발림성 따져서 저도 지금 뜯어놓은 제품만 8개고, 최근에 3개 더 추가로 샀을 정도로 선크림 유목민이예요
제형이 엄청 호기심이 생기네요. 그리고 유분기가 아니라 수분감 있는 선제품이라니 궁금..
유목민은 집에 같은 제품이 많이 있든 말든 궁금하면 또 사고싶어지는 법이라.. 월급날도 곧 다가오니 들어올 돈도 있겠다 미리 지를까봐요 ㅋㅋ"
@sachlich2499,"유기지차라 고민되네요
트러블걱정때문에"
@user-vr8le6nf6g,극건성인 사람으로써 썬크림 바르면 건조하고 백탁 때문에 너무 불편했는데  촉촉하고 투명이라 백탁없는거 너무기대됩니다~
@user-et6ol9nb4j,"6월 5일까지는 판매하시는거죠?? 한정수량이라고, 매진이라고 하시면 안돼요... 6월 돼야 살 수 있어서요 ㅠ"
@user-zf7eb2hy1s,"뭘 발라도 면역이 무너져서 지루성피부염을 앓으며 아무거나 못바르는 저희 언니에게 선물해주고 싶어요..!! 
베이스 제품 중에서 가장 기초적인 시작이 선크림이다보니 선크림 역시도 성분이 정말 중요한데 평소 심톨님이 광고없이 추천해주신 영양제나 다양한 화장품을 통해 효과를 많이 본 사람으로서 개발한 선세럼 역시 기대가 큰거 같아요🩵
️ 당첨이 된다면 툭하면 붉게 홍반점처럼 생기는 저희 언니의 피부도 더이상 따갑지 않게 자외선 차단을 할 수 있게 되지 않을까 싶어요ㅠㅠ!!"
@user-wm3og4jd6q,혹시 ahc 선세럼이랑은 제형이나 사용감 차이가 어떤게 있을까요??
@user-gy7qv3or7x,"헉 29인데, 왜 액면가는 제가 훨씬 언니같쥬.. ㅎ..  나이는 나만 먹쥬"
@user-je4yh8ne3e,열감많이 올라와서 무기자차 쓰는데 괜찮을까요??
@user-gq5hp4tf7o,"전에 꾸준히 사용하던 선크림이 차단지수 조작 선크림으로 밝혀지고,
아이와 함께 사용하기 위해 리뷰를 통해서 순하다는 선크림을 여러 종류 구매해 봤지만 눈 시림 극강을 맛보았고 .. 
선크림에 대한 신뢰가 바닥을 치던 중 만나보는 선 에센스이네요 이것은 운명인가요?
심톨님 따라서 조용하게 손민수를 하고 있었는데 이번 선제품도 기대가 됩니다^^"
@vivianLee-jh6jo,"유튜버랑 협작해서 내는 제품들 솔직히 안믿고 절때 구매안하는데 초기때부터 구독하고 영상봐와서 구매 안할수가 없었어요 4개 바로 구매완료,,, 협작제품 처음 구매해보는데 꼭 잘 맞는 제품이였으면 좋겠습니당 "
@user-vh2yo6eb4b,"아쿠아""테카"" 선""세럼""이라는 제품명에서부터 벌써 반이상은  먹고 들어가는듯 합니다~~ ㅎㅎ

벌써부터 내리쬐는 햇빛에  특히 더 무조건 선제품이 필요해지는 요즘인데 여기저기서 부드러운 제형으로도 많이 출시되고 있지만 그래도 선.세.럼은 너무 센세이션!! 가볍고 워터리해서 평소에 아무때나 휘뚜루마뚜루 잘 쓸 수 있을것 같고 시카성분까지 쪼개서 들어갔다고 하니 흡수도 훨씬 잘되서 열감으로 붉어진   피부도 진정시킬 수 있을것 같아 더 기대가 됩니다~~(손으로 펴바르는게 아닌 펌핑해서 쓴다는 점도 너무 플러스 요인!!) 

선제품은 이제 데일리로 사계절 챙겨야하는데 유목민으로 이제품 저제품 써보는것도 지쳐가는중에 완전 반가운 소식!! 
이번 제품으로 선제품 입문하면 왠지 선세럼만 찾아 바를듯 합니다"
@user-fd1ri3ex4z,"와.! 언니 대체 뭘 만든거에요!!!!!!!!!!! 선크림 제가 제일 좋아하는 화장품이에요!!!!! 여기저기 무조건 선크림 발라야 한다구 나중에 후회하지 말고 지금 바르라고 맨날 말하구 다니구 저도 그냥 365일 매일 아침에 새안하고 무조건 아묻따 선크림으로 마무리해주는데 그래서 솔직히 저 올리브영 입점되어 있는 선크림 80%이상 다 써본 거 같아요… 휴,, 내 돈 솔직히 선크림에 다 태웠다,,, 좋다고 하는 선크림도 내가 바르면 얼마큼 바르는지에 따라 피부 컨디션에 따라 어떻게 흡수시키는지에 따라 쿠션이랑 궁합은 좋은지 등등… 솔직히 다 다르잖아요,, 그래서 전 유투버분들이 좋다고! 좋다고! 속는 셈 치고 써보세요하는 거 썼다가 와…! 진짜 찐이다!!! 이랬던 건 거의 없었다는 슬픈 이야기….ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 제가 이제는 많이 써보다 보니까 선크림 성분 발림성 그냥 조금만 봐도 느낌이 오거든요 근데 언니가 왜 이렇게까지 말하는지 느껴져서 또 저는 속는 셈치고 또 사려고 해요..^,^ 선세럼이 요즘 브랜드들에서도 신상으로 나오고 있던데 바르기 편하는게 제일 장점인 거 같고 진짜 선크림으로 선크림으로써 피부에 바를 수 있다고 저는 생각해서 꼭 써보려구요!!!!! 언니가 영상 속 선크림 추천은 처음하는거잖아요~ 진짜 이건 찐이다!!!! 무조건이다!! 세상에 이런 소중한 친구 데려와줘서 너무너무 고맙구 사랑해요🩵"
@user-pj5lc1to1t,"선크림만 바르면 눈시림+좁쌀여드름+간지러움증 콤보라 더마브랜드들 돌고 돌아가면서 겨우 쓰는데..진짜 꼭 써보고싶어서 사야겠어요
일단 3개구성 구매완료
어제 택배 배송으로 도착해서, 오늘 사용해본 후기를 남기자면, 얼굴의 열감이 항상 있는편이라 선크림 바를때도 그게 고스란히 티나는 편인데, 오히려 바르고나서 편안한 피부상태를 느꼈고
땀뻘뻘흘리면서 운동했는데, 뭐 하나 나는거 없이 간지러움없이 사용감이 너무 좋았어요!
개복치 피부라 안맞는 선크림은 1시간만 지나도 간지러운데 전혀 그런느낌이 없어서, 꾸준히 바르려고 합니다!! 좋은 선크림 감사해요'^'"
@NNARRU,"다른 사람도 아닌 바로 그! 심톨이 만든 선세럼이라니
 정말 너무 기대돼요! 심톨님이 6개월을 투자하여 만든 델피어 아쿠아 테카 카밍 선세럼의 도움을 받아서 어차피 나이들 거 심톨님처럼 천천히 이쁘게 나이 들어가고 싶어요╰(*´︶`*)╯"
